id,name,iso2,iso3,flag_url,location,description,primary_category,primary_category_colour,primary_category_icon,primary_value,secondary_category,secondary_category_colour,secondary_category_icon,secondary_value,colour1,colour2,colour3,colour4,colour5,colour1_url,colour2_url,colour3_url,colour4_url,colour5_url,symbol1,symbol2,symbol3,symbol1_url,symbol2_url,symbol3_url,pattern1,pattern1_url,points
azerbaijan,Azerbaijan,AZ,AZE,https://clintongreen.github.io/vexx-assets/flags/az.png,Asia • Western Asia,The crescent represents Islam while the eight-pointed star symbolizes the Turkic peoples.,Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Landlocked,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,Azerbaijani,red,white,green,blue,,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/blue.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,crescent,star,,https://clintongreen.github.io/vexx-assets/symbols/crescent.png,https://clintongreen.github.io/vexx-assets/symbols/star.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,8
bahamas,Bahamas,BS,BHS,https://clintongreen.github.io/vexx-assets/flags/bs.png,North America • Caribbean,The black triangle represents determination while the aquamarine and gold reflect the sea and beaches.,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,English,Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Archipelago,black,white,yellow,,,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,chevron,https://clintongreen.github.io/vexx-assets/patterns/chevron.png,6
bahrain,Bahrain,BH,BHR,https://clintongreen.github.io/vexx-assets/flags/bh.png,Asia • Western Asia,The serrated white band symbolizes peace beside the nation's traditional red.,Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,765 km²,Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,1.6 million,white,red,,,,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,4
bangladesh,Bangladesh,BD,BGD,https://clintongreen.github.io/vexx-assets/flags/bd.png,Asia • Southern Asia,The red disc represents the rising sun and the sacrifice made for independence.,Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,173.6 million,Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Republic,green,red,,,,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,4
barbados,Barbados,BB,BRB,https://clintongreen.github.io/vexx-assets/flags/bb.png,North America • Caribbean,The broken trident represents independence while the blue and gold reflect sea and sand.,Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Republic,Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,430 km²,navy,yellow,black,,,https://clintongreen.github.io/vexx-assets/colours/navy.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,chevron,https://clintongreen.github.io/vexx-assets/patterns/chevron.png,6
belarus,Belarus,BY,BLR,https://clintongreen.github.io/vexx-assets/flags/by.png,Europe • Eastern Europe,The traditional ornamental pattern celebrates the nation's cultural heritage.,Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Landlocked,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,Belarusian,red,white,green,,,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,5
belgium,Belgium,BE,BEL,https://clintongreen.github.io/vexx-assets/flags/be.png,Europe • Western Europe,"The black, yellow and red tricolour was inspired by the colours of the Duchy of Brabant.",Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,German,Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Coastal,black,yellow,red,,,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,vertical-triband,https://clintongreen.github.io/vexx-assets/patterns/vertical-triband.png,6
belize,Belize,BZ,BLZ,https://clintongreen.github.io/vexx-assets/flags/bz.png,North America • Central America,The national coat of arms celebrates the country's history and forestry heritage.,Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,"22,966 km²",Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,"417,072",black,white,green,red,yellow,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,coat-of-arms,,,https://clintongreen.github.io/vexx-assets/symbols/coat-of-arms.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,8
benin,Benin,BJ,BEN,https://clintongreen.github.io/vexx-assets/flags/bj.png,Africa • Western Africa,"The green, yellow and red colours symbolize hope, prosperity and courage.",Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,14.5 million,Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Republic,green,yellow,red,,,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,5
bhutan,Bhutan,BT,BTN,https://clintongreen.github.io/vexx-assets/flags/bt.png,Asia • Southern Asia,The white dragon represents purity while the jewels symbolize national wealth.,Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Constitutional monarchy,Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,"38,394 km²",white,yellow,orange,black,,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/orange.png,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,6
bolivia,Bolivia,BO,BOL,https://clintongreen.github.io/vexx-assets/flags/bo.png,South America • South America,"The red, yellow and green tricolour represents bravery, resources and fertile land.",Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Landlocked,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,Aymara,black,yellow,green,white,red,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/red.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,horizontal-triband,https://clintongreen.github.io/vexx-assets/patterns/horizontal-triband.png,8
bosnia-and-herzegovina,Bosnia and Herzegovina,BA,BIH,https://clintongreen.github.io/vexx-assets/flags/ba.png,Europe • Southeast Europe,The blue field and stars symbolize Europe while the triangle represents the nation's three peoples.,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,Bosnian,Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Coastal,navy,yellow,white,,,https://clintongreen.github.io/vexx-assets/colours/navy.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,star,,,https://clintongreen.github.io/vexx-assets/symbols/star.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,6
botswana,Botswana,BW,BWA,https://clintongreen.github.io/vexx-assets/flags/bw.png,Africa • Southern Africa,The black stripe with white borders represents racial harmony beneath blue skies.,Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,"582,000 km²",Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,2.5 million,blue,white,black,,,https://clintongreen.github.io/vexx-assets/colours/blue.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,5
brazil,Brazil,BR,BRA,https://clintongreen.github.io/vexx-assets/flags/br.png,South America • South America,The green field and yellow diamond represent Brazil's heritage while the blue globe shows the night sky.,Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,212 million,Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Republic,white,green,yellow,navy,,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/navy.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,star,,,https://clintongreen.github.io/vexx-assets/symbols/star.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,7
brunei,Brunei,BN,BRN,https://clintongreen.github.io/vexx-assets/flags/bn.png,Asia • South-Eastern Asia,The national crest represents the monarchy while the diagonal bands symbolize peace and prosperity.,Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Absolute monarchy,Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,"5,765 km²",yellow,white,black,red,,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,diagonal,https://clintongreen.github.io/vexx-assets/patterns/diagonal.png,7
bulgaria,Bulgaria,BG,BGR,https://clintongreen.github.io/vexx-assets/flags/bg.png,Europe • Southeast Europe,"The white, green and red tricolour represents peace, nature and courage.",Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Coastal,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,Bulgarian,white,green,red,,,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,horizontal-triband,https://clintongreen.github.io/vexx-assets/patterns/horizontal-triband.png,6
burkina-faso,Burkina Faso,BF,BFA,https://clintongreen.github.io/vexx-assets/flags/bf.png,Africa • Western Africa,The gold star symbolizes the guiding light of the revolution above the national colours.,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,French,Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Landlocked,red,green,yellow,,,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,star,,,https://clintongreen.github.io/vexx-assets/symbols/star.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,6
burundi,Burundi,BI,BDI,https://clintongreen.github.io/vexx-assets/flags/bi.png,Africa • Eastern Africa,The white saltire represents peace while the three stars symbolize the national motto.,Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,"27,834 km²",Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,14 million,white,green,red,,,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,5
cambodia,Cambodia,KH,KHM,https://clintongreen.github.io/vexx-assets/flags/kh.png,Asia • South-Eastern Asia,The Angkor Wat temple celebrates the country's history and cultural identity.,Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,17.6 million,Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Constitutional monarchy,navy,red,white,black,,https://clintongreen.github.io/vexx-assets/colours/navy.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,6
cameroon,Cameroon,CM,CMR,https://clintongreen.github.io/vexx-assets/flags/cm.png,Africa • Middle Africa,The central gold star symbolizes national unity.,Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Republic,Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,"475,442 km²",yellow,green,red,,,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,star,,,https://clintongreen.github.io/vexx-assets/symbols/star.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,6
canada,Canada,CA,CAN,https://clintongreen.github.io/vexx-assets/flags/ca.png,North America • North America,The maple leaf symbolizes unity while the red and white are Canada's national colours.,Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Coastal,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,English,white,red,,,,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,4
