name,description
Japan,The red sun disc represents the rising sun and has been Japan's national symbol for centuries.
Jordan,The seven-pointed star represents the opening verses of the Quran and national unity.
Kazakhstan,"The golden sun and eagle symbolize freedom, abundance and the open steppe."
Kenya,The Maasai shield and spears represent the defence of freedom.
Kiribati,The frigatebird symbolizes freedom above the rising sun and Pacific waves.
Kuwait,The national colours symbolize Arab unity while the black trapezoid represents historic battlefields.
Kyrgyzstan,"The sun and tunduk symbolize life, unity and the roof of a traditional yurt."
Laos,The white disc represents unity and the full moon above the Mekong River.
Latvia,The deep red and white design is one of Europe's oldest surviving national flags.
Lebanon,The cedar tree represents peace while reflecting the nation's enduring natural heritage.
Lesotho,The Basotho hat symbolizes the country's people and cultural identity.
Liberia,The design honours Liberia's historic links to the United States while the lone star represents freedom.
Libya,The crescent and star represent Islam while the national colours reflect Arab unity.
Liechtenstein,The crown symbolizes the unity of the people and the monarchy.
Lithuania,"The yellow, green and red tricolour represents prosperity, forests and courage."
Luxembourg,"The red, white and light blue tricolour reflects the nation's historic colours."
Madagascar,"The white, red and green colours represent purity, sovereignty and hope."
Malawi,The rising red sun symbolizes the dawn of freedom in Africa.
Malaysia,The crescent represents Islam while the fourteen-pointed star symbolizes the federation.
Maldives,The green rectangle represents peace while the white crescent reflects Islam.
Mali,"The green, yellow and red tricolour reflects hope, wealth and sacrifice."
Malta,The George Cross honours the nation's bravery during the Second World War.
Marshall Islands,The rays symbolize the island chains while the star represents the nation's districts.
Mauritania,The crescent and star symbolize Islam while the gold represents the Sahara Desert.
Mauritius,"The four coloured stripes represent freedom, the Indian Ocean, fertile land and the future."
Mexico,The eagle devouring a serpent recalls the Aztec founding legend of Tenochtitlan.
Micronesia,The four stars represent the federated states on a field of the Pacific Ocean.
Moldova,The eagle in the coat of arms represents sovereignty and national identity.
Monaco,The simple red and white bicolour reflects the colours of the Grimaldi family.
Mongolia,"The Soyombo symbol represents freedom, independence and national identity."
Montenegro,The golden double-headed eagle reflects the country's royal and historic heritage.
Morocco,The green pentagram represents the Seal of Solomon on a red field.
Mozambique,"The open book, hoe and rifle symbolize education, agriculture and the defence of independence."
Myanmar,The large white star represents the unity of the nation.
Namibia,The golden sun symbolizes life and energy above the national colours.
Nauru,The white star marks the island's location just south of the Equator.
Nepal,The unique double-pennant design represents the Himalayas and the nation's enduring spirit.
Netherlands,"The red, white and blue tricolour is one of the world's oldest national flags."
New Zealand,The Union Jack and Southern Cross reflect history and geography.
Nicaragua,The triangle symbolizes equality while the rainbow represents peace.
Niger,The orange disc symbolizes the sun above the Sahara Desert.
Nigeria,The green and white triband represents agriculture and peace.
North Korea,The red star represents socialism while the colours reflect patriotism and peace.
North Macedonia,The radiant yellow sun symbolizes liberty and a bright future.
Norway,The Nordic cross reflects Christianity and Scandinavian heritage.
Oman,"The white, red and green colours represent peace, past struggles and the nation's fertile land."
Pakistan,The white crescent and star represent progress and light beside the green field of Islam.
Palau,"The golden disc represents the full moon, a symbol of peace and prosperity."
Panama,The blue and red stars represent the nation's major political traditions united in peace.
Papua New Guinea,The Bird-of-Paradise represents freedom while the Southern Cross reflects the southern skies.
Paraguay,The national flag uniquely features different emblems on its front and reverse.
Peru,The red and white colours symbolize courage and peace.
Philippines,The white triangle represents equality while the golden sun symbolizes independence.
Poland,The white and red bicolour represents purity and bravery.
Portugal,The armillary sphere celebrates the nation's Age of Discovery while the shield recalls its history.
Qatar,The serrated white band separates peace from the nation's traditional maroon colour.
Republic of the Congo,"The diagonal tricolour symbolizes hope, prosperity and the nation's forests."
Romania,"The blue, yellow and red tricolour represents liberty, justice and fraternity."
Russia,"The white, blue and red tricolour has become a symbol of national unity and sovereignty."
Rwanda,The golden sun symbolizes enlightenment and a bright future.
Saint Kitts and Nevis,The stars represent hope and liberty while the diagonal band reflects the nation's path forward.
Saint Lucia,"The twin Pitons rise above the sea, symbolizing the island's natural beauty."
Saint Vincent and the Grenadines,The three green diamonds form a 'V' representing Saint Vincent.
Samoa,The Southern Cross reflects the nation's location in the South Pacific.
San Marino,The Three Towers represent the republic's independence and historic fortresses.
São Tomé and Príncipe,The two black stars represent the nation's two main islands.
Saudi Arabia,The Islamic declaration of faith appears above a sword representing justice.
Senegal,The green star symbolizes hope and African unity.
Serbia,The double-headed eagle reflects the nation's royal and Byzantine heritage.
Seychelles,The radiating bands symbolize a dynamic nation moving toward the future.
Sierra Leone,"The green, white and blue stripes represent agriculture, unity and the Atlantic Ocean."
Singapore,The crescent represents a young nation while the five stars symbolize its national ideals.
Slovakia,The double cross on three hills reflects the nation's Christian heritage.
Slovenia,The coat of arms features Mount Triglav above waves and three golden stars.
Solomon Islands,The five stars represent the nation's main island groups.
Somalia,The white star symbolizes unity among Somali people.
South Africa,The Y-shaped design symbolizes unity of diverse paths.
South Korea,The red and blue taegeuk symbolizes balance while the four black trigrams represent harmony and the elements.
South Sudan,The gold star symbolizes unity while the colours reflect the struggle for freedom.
Spain,The national coat of arms represents the historic kingdoms that formed modern Spain.
Sri Lanka,The golden lion symbolizes bravery while the bo leaves represent Buddhist virtues.
State of Palestine,The Pan-Arab colours symbolize Arab unity and shared heritage.
Sudan,The Pan-Arab colours reflect Arab unity and the nation's heritage.
Suriname,The gold star represents unity and a bright future.
Sweden,The Nordic cross reflects Christianity and Scandinavian heritage.
Switzerland,The white cross on red is one of the world's oldest national flag designs.
Syria,The two green stars represent unity within the Arab world.
Tajikistan,The crown symbolizes the nation's name while the stars represent progress.
Tanzania,"The diagonal bands represent land, minerals and the Indian Ocean."
Thailand,"The red, white and blue stripes represent nation, religion and monarchy."
Timor-Leste,The black triangle recalls past struggles while the star represents hope.
Togo,The lone white star symbolizes peace and national unity.
Tonga,The red cross reflects the nation's Christian faith.
Trinidad and Tobago,The diagonal black band symbolizes strength while red and white represent vitality and purity.
Tunisia,The red crescent and star represent Islam within a white disc of peace.
Turkey,The white crescent and star have symbolized the nation for centuries.
Turkmenistan,The carpet motifs celebrate the nation's weaving traditions while the stars represent its regions.
Tuvalu,The Union Jack reflects historical ties while the stars represent the nation's islands.
Uganda,"The grey crowned crane symbolizes elegance, peace and national identity."
Ukraine,The blue and yellow bicolour represents clear skies above golden wheat fields.
United Arab Emirates,The Pan-Arab colours symbolize Arab unity and shared heritage.
United Kingdom,"The Union Jack combines the crosses of the patron saints of England, Scotland and Ireland."
United States,The stars represent the states while the stripes honour the original thirteen colonies.
Uruguay,The Sun of May symbolizes freedom and independence.
Uzbekistan,The crescent represents a new beginning while the stars symbolize historical traditions.
Vanuatu,The Y-shaped design represents the nation's islands while the boar's tusk symbolizes prosperity.
Venezuela,The eight stars represent the historic provinces that supported independence.
Vietnam,The gold star represents the unity of the people on a red field.
Yemen,"The red, white and black tricolour reflects Arab unity and national heritage."
Zambia,The eagle represents freedom while the colours symbolize the nation's resources and people.
Zimbabwe,The Zimbabwe Bird represents the nation's heritage while the star symbolizes hope.
